cue_id	mission	stage	speaker	direction	line	trigger
M59_S1_01_GOHAN	M59	1	GOHAN		Overriding state relay! Broadcasting the offshore ledgers on all public frequencies!	Broadcast override
M59_S1_02_ICE	M59	1	ICE		Aegis helicopter attempting to deploy shooters on the 'W'! Sniper round away-pilot down!	Sign shootout
M59_S1_03_GOHAN	M59	1	GOHAN		Broadcast is repeating. Independent copies are spreading. They can't silence this by taking one tower.	Media leak live
M60_S1_01_ICE	M60	1	ICE	Deep, protective fury	They came to our neighborhood. They think they can burn Davis? Not while we breathe.	Street defense start
M60_S1_02_GUESS	M60	1	GUESS		Roadblock set with burning muscle cars on Brouge Avenue! Bring them into the pocket! We played football right on this corner!	Brouge ambush
M60_S1_03_GOHAN	M60	1	GOHAN		Setting remote EMP charges under the streetlamps! When their APCs roll in, we cut their engines dead!	EMP grid set
M60_S1_04_ICE	M60	1	ICE	LMG firing from church roof	Aegis heavy infantry breaking left! Families homies covering the alley! Hold the line!	Rooftop defense
M60_S1_05_GOHAN	M60	1	GOHAN		Detonating underground gas main! Lead APC destroyed! They are retreating back to the freeway!	Gas explosion
M60_S1_06_GUESS	M60	1	GUESS		Davis stands! Nobody burns our home block!	Victory shout
M61_S1_01_GOHAN	M61	1	GOHAN		Inside flooded bridge. Cutting server chassis with acoustic torch.	Flooded bridge dive
M61_S1_02_ICE	M61	1	ICE		Aegis divers inbound on underwater scooters! Dropping depth grenades!	Underwater defense
M61_S1_03_GOHAN	M61	1	GOHAN		Command server extracted! We have the exact access codes for Maze Bank Tower!	Server secured
M62_S1_01_ICE	M62	1	ICE		On top of train car three! Flatbed has automated twin miniguns- taking them out with EMP grenades!	Train rooftop combat
M62_S1_02_GOHAN	M62	1	GOHAN		Speedboat holding parallel sixty yards out! Jamming missile relay drones!	Coastal boat match
M62_S1_03_GUESS	M62	1	GUESS		Dropping chopper sling directly between tunnel arches! Hook the cargo container, Ice!	Aerial hook in tunnel
M63_S1_01_GUESS	M63	1	GUESS		Lobby barricade breached! Technical parked right at the security elevators!	Glass lobby breach
M63_S1_02_ICE	M63	1	ICE		Contractor heavy gunner on mezzanine! Neutralized with grenade launcher!	Lobby shootout
M63_S1_03_GOHAN	M63	1	GOHAN		Security core bypassed! Main freight elevator unlocked for the ascent!	Elevator override
M64_S1_01_ICE	M64	1	ICE		Elevator cable severed above! Car falling down shaft-JUMP TO THE LANDING!	Falling car dodge
M64_S1_02_GOHAN	M64	1	GOHAN		Floors 70 to 80 cleared! Only executive security left on the penthouse level!	Stairwell push
M64_S1_03_GUESS	M64	1	GUESS		Door blown open! We are on the executive floor!	Executive breach
M65_S1_01_ENEMY	M65	1	VANCE		You boys think you won? You're street thugs from Davis! You can't beat the system!	Boardroom standoff
M65_S1_02_ICE	M65	1	ICE		The system didn't grow up on our streets, Vance. It's over.	Vance executed
M65_S1_03_GOHAN	M65	1	GOHAN		Biometrics accepted! Escrow control is open. I've got the authorizations; we finish the transfer outside.	Financial collapse
M66_S1_01_GUESS	M66	1	GUESS		Choppers circling the spire! Only way off this tower is into the sky! JUMP!	Spire jump
M66_S1_02_ICE	M66	1	ICE		Pulling chute at eight hundred feet! Gliding between the Arcadius towers!	Canyon parachute
M66_S1_03_GOHAN	M66	1	GOHAN		Touchdown on the Del Perro connector! Extraction semi-truck is waiting!	Highway landing
M67_S1_01_GOHAN	M67	1	GOHAN		Transfer confirmed. The money's accessible. It isn't invisible, so we still need to get out.	Fund transfer
M67_S1_02_GUESS	M67	1	GUESS		Five hundred million dollars... we actually did it.	Truck cab relief
M67_S1_03_ICE	M67	1	ICE		Not yet. Aegis launched their final surviving battalion to intercept us at the airport.	Airport alert
M68_S1_01_GUESS	M68	1	GUESS		Eighteen wheels of steel rolling through the flood channel! Speed is eighty!	Convoy start
M68_S1_02_ICE	M68	1	ICE		Aegis armored buggies dropping in from bridge ramps! Turret engaged!	Turret combat
M68_S1_03_GOHAN	M68	1	GOHAN		Deploying magnetic trail mines! Bridge support blown-roadblock crushed!	Channel breakout
M69_S1_01_GUESS	M69	1	GUESS		Runway 30L! Commercial 747 touching down right in front of us! SWERVING!	Jetliner dodge
M69_S1_02_ICE	M69	1	ICE		Aegis barricade at the taxiway! Guess, ram the fuel bowser into their line!	Barricade smash
M69_S1_03_GOHAN	M69	1	GOHAN		C-130 cargo ramp is open! Drive the rig straight up into the cargo hold!	Ramp boarding
M70_S1_01_ICE	M70	1	ICE	Roaring over minigun fire, brass raining down tarmac	Fifteen years on our own roads. Tonight we hold this ground.	Final siege holdout
M70_S1_02_GOHAN	M70	1	GOHAN	Firing combat rifle, laughing wildly through smoke	Third wave! Ice, still with me?	Wave three repelled
M70_S1_03_GUESS	M70	1	GUESS	Throttle quad-levers jammed forward	All four turboprops redlining! We ain't dying on this runway! SEAWALL RAMP IN THREE SECONDS!	Seawall taxi
M70_S1_04_ICE	M70	1	ICE		HOLD ONTO SOMETHING! HIT THE WATER!	Plane launches off seawall
M70_S1_05_GOHAN	M70	1	GOHAN	Floating in the ocean launch under golden sunrise	We survived it. All three of us.	Sunrise aftermath
M70_S1_06_GUESS	M70	1	GUESS	Smiling, looking back at the smoking city horizon	Told y'all it still had engines.	Brothers laugh
M70_S1_07_ICE	M70	1	ICE	Looking at his brothers, loading fresh magazine, smiling	Let's go home.	Final cut to black: CAMPAIGN COMPLETE
SM01_S1_01_ICE	SM01	1	ICE	Low, dangerous growl	Sergei thought he could pocket twenty grand and hand me surplus civilian brass. Time to remind him who taught him logistics.	Gameplay stage 1 entry
SM01_S1_02_ICE	SM01	1	ICE	Kicking side door open, racking heavy shotgun	Six guards between me and Sergei. I'm clearing the floor before I ask for the codes.	Gameplay stage 2 entry
SM01_S2_03_ENEMY	SM01	2	SERGEI		Vance! Put the gun down! We can work something out, brother!	Gameplay stage 3 entry
SM01_S2_04_ICE	SM01	2	ICE		We aren't brothers, Sergei. And your credit just expired.	Gameplay stage 3 entry
SM01_S2_05_ICE	SM01	2	ICE		Crates loaded in the trunk. Armor-piercing tungsten-core 7.62. Gohan and Guess have what they need.	Gameplay stage 4 completion
SM02_S1_01_GOHAN	SM02	1	GOHAN	Whispering through comm headset	Lifeinvader annex. Roof first, then both guards go down quiet. Nobody needs to die for a camera archive.	Gameplay stage 1 entry
SM02_S1_02_GOHAN	SM02	1	GOHAN		Two guards between me and the server room. Stun gun first; the thermal pulse finds them for me.	Gameplay stage 2 entry
SM02_S2_03_GOHAN	SM02	2	GOHAN	Keystrokes clicking rapidly	Worm installed. Camera archive access is ours. Getting out before IT traces the connection.	Gameplay stage 3 completion
SM02_S2_04_GOHAN	SM02	2	GOHAN		Slip down the fire escape before internal IT notices the packet spike. Clean and invisible.	Gameplay stage 4 entry
SM03_S1_01_GUESS	SM03	1	GUESS	Twin-turbo revving at 7,000 RPM, two-step popping	Marabunta thinks their tuned Elegy has the top end. They don't know who is behind this wheel.	Gameplay stage 1 entry
SM03_S1_02_GUESS	SM03	1	GUESS	Slipstream Reflex activated, slow-mo engine roar	Three laps. KJ, keep an eye on their line.	Gameplay stage 2 entry
SM03_S2_03_ENEMY	SM03	2	RIVAL RACER		We lost the race! Shoot his tires before he leaves!	Gameplay stage 3 entry
SM03_S2_04_GUESS	SM03	2	GUESS	Laughing wildly, ducking below dashboard	They pulled guns after losing. I can stop them or get the coupe back to the finish.	Gameplay stage 3 entry
SM03_S2_05_GUESS	SM03	2	GUESS		Checkered flag! Title is in my pocket and the racing transmission is loaded on the truck.	Gameplay stage 3 completion
SM04_S1_01_ICE	SM04	1	ICE	Wind howling through scope, breathing slow	Two Aegis marksmen watching the quarry road. I'll take the overlook and identify both positions.	Mission begins
SM04_S1_02_ICE	SM04	1	ICE	Suppressed crack	One down. The other still has a sightline on the road. Can't leave him there.	First marksman eliminated
SM04_S2_03_ICE	SM04	2	ICE		Both down. Radios recovered. Gohan can listen for patrol calls; we'll still have to watch the road.	Both marksmen eliminated and both radios collected
SM05_S1_01_GOHAN	SM05	1	GOHAN	Reeds rustling, water rippling	Swamp's dark enough to hide a boat. Going in quiet. I'll call when I find the buoy.	Gohan reaches the boat
SM05_S1_02_GOHAN	SM05	1	GOHAN	Diving underwater, rebreather hiss	Buoy located. Fitting the interceptor at the service harness. Keep this channel open.	Gohan begins installing the interceptor
SM05_S2_03_GOHAN	SM05	2	GOHAN		Signal locked. We can read the flight traffic this buoy relays. Coming back to the pickup.	Interceptor installed
SM06_S1_01_GUESS	SM06	1	GUESS	V8 diesel roaring, chassis shuddering	Aviation fuel, full load. Easy on the throttle. This thing only has to arrive in one piece.	Guess boards the tanker
SM06_S1_02_GUESS	SM06	1	GUESS		Cartel bikes behind me! Gohan, keep the airfield gate clear.	Armed bike pursuit starts
SM06_S2_03_GUESS	SM06	2	GUESS	Flooring pedal, swerving into lead bike	Through the canyon. Still got the load. I'm taking the next bend slow, whether they like it or not.	Tanker clears the canyon checkpoint
SM06_S2_04_GUESS	SM06	2	GUESS		Tanker at McKenzie, intact. Set this fuel aside for the rig operation.	Specified tanker delivered and unloaded
SM07_S1_01_ICE	SM07	1	ICE	Cold, venomous tone	Fifteen years ago Sterling got my whole squad ambushed in Kandahar for a five-hundred-thousand-dollar kickback. Tonight I settle the ledger.	Elevator ascent
SM07_S1_02_ICE	SM07	1	ICE	Breaching suite doors with suppressed assault rifle	Four executive bodyguards in the foyer-neutralized.	Suite shootout
SM07_S2_03_ENEMY	SM07	2	STERLING	Cowering behind marble desk	Vance! You're a ghost! That was fifteen years ago in the desert!	Sterling cornered
SM07_S2_04_ICE	SM07	2	ICE		I didn't forget a single name on those dog tags, Sterling. Look at me.	Execution moment
SM07_S2_05_ICE	SM07	2	ICE	Walking out into rain	Debt settled. The past is buried. Now we finish Aegis in Los Santos.	Hotel exit
SM08_S1_01_GOHAN	SM08	1	GOHAN	Looking up at glass tower	Vanderbilt & Cole. The suits who doctored the ledgers and handed my name to the feds fifteen years ago. Payback time.	Office infiltration
SM08_S1_02_GOHAN	SM08	1	GOHAN		Bypassing their biometric vault lock. Downloading sixty gigabytes of blackmail files.	Vault download
SM08_S2_03_GOHAN	SM08	2	GOHAN		Chemical thermite strips armed along every filing cabinet. In sixty seconds, their entire corrupt history is ash.	Igniting vault
SM08_S2_04_GOHAN	SM08	2	GOHAN	Watching flames reflect in glass window	The evidence proving they framed me is out. Clearing my name comes next. First, Ice and Guess need me.	Elevator escape
SM09_S1_01_GUESS	SM09	1	GUESS		The foreign captain wants this hypercar on his cargo deck before dawn, or the escape passports don't get stamped. Guess never fails a delivery.	Hotwiring hypercar
SM09_S1_02_GUESS	SM09	1	GUESS	Sirens wailing, five-star police pursuit	LSPD SWAT cruisers setting up spiked roadblocks on the bridge! Slipstream Reflex engaged!	Highway drift
SM09_S2_03_GUESS	SM09	2	GUESS	Launching car off construction ramp over police cruiser	Flying over the blockade! Eat my exhaust!	Ramp jump
SM09_S2_04_GUESS	SM09	2	GUESS		Car driven straight into the shipping container! Container door locked! Passports and sea passage secured for the whole crew!	Mission passed
